Токен	Частота появления в train
не_PART	23181
на_ADP	12866
в_ADP	10580
и_CONJ	9932
что_CONJ	5812
с_ADP	5401
как_CONJ	3776
но_CONJ	3630
всё_PART	3416
это_PART	3296
за_ADP	3055
даже_PART	2942
а_CONJ	2911
я_PRON	2856
то_CONJ	1949
к_ADP	1857
от_ADP	1833
весь_ADJ	1704
так_CONJ	1504
из_ADP	1477
по_ADP	1409
бы_PART	1349
для_ADP	1287
у_ADP	1215
нет_ADV	1147
он_PRON	1129
без_ADP	992
когда_CONJ	989
просто_PART	986
при_ADP	905
через_ADP	902
до_ADP	891
она_PRON	875
ни_PART	870
после_ADP	812
2_X	795
ещё_ADV	778
же_PART	735
кто_PRON	714
они_PRON	701
это_PRON	653
вместо_ADP	575
вы_PRON	572
если_CONJ	563
о_ADP	535
чем_CONJ	535
хотя_CONJ	493
3_X	467
1_X	464
вот_PART	454
спустя_ADP	431
5_X	415
себя_PRON	393
ведь_PART	391
тоже_PART	378
будто_CONJ	375
под_ADP	362
или_CONJ	355
порвать_ADJ	344
именно_PART	312
разочаровать_ADJ	308
спасибо_INTJ	298
ну_PART	294
4_X	289
да_PART	268
возможно_CONJ	266
равно_CONJ	256
внутри_ADP	256
мы_PRON	243
никто_PRON	232
чтобы_CONJ	230
написать_ADJ	226
wildberries_X	221
словно_CONJ	220
между_ADP	211
многие_PRON	207
вроде_PART	204
влиять_ADJ	204
конечно_CONJ	190
благодаря_ADP	185
усиливаться_ADJ	182
включая_ADP	181
видно_CONJ	178
нужно_ADV	177
xiaomi_X	166
куда_CONJ	164
лишь_PART	162
её_ADJ	161
упаковать_ADJ	160
про_ADP	154
6_X	152
наверное_CONJ	152
что_PRON	151
7_X	145
самсунг_NOUN	145
либо_CONJ	140
против_ADP	139
8_X	139
правда_PART	139
браковать_ADJ	136
несмотря_ADP	136
р_NOUN	134
разорвать_ADJ	128
ли_CONJ	128
qr_X	126
невозможно_ADV	126
tefal_X	125
перед_ADP	124
руб_NOUN	124
ощущаться_VERB	124
electrolux_X	124
хоть_PART	124
здравствуйте_INTJ	121
кофемашин_NOUN	118
увы_INTJ	117
приятно_ADV	115
перезаказать_VERB	113
s_X	111
логист_NOUN	105
redmond_X	104
ж_PART	104
г_NOUN	103
11_X	102
сложиться_ADJ	102
дороговатый_ADJ	101
тем_CONJ	100
известно_ADV	100
причём_CONJ	100
пожалуйста_PART	100
потратить_ADJ	99
сделать_ADJ	99
скорее_CONJ	98
сродни_ADP	96
сопрячь_ADJ	94
маломерить_VERB	88
вайлдбериз_NOUN	87
прям_PART	85
0_X	84
delonghi_X	84
вайлдберриз_NOUN	83
9_X	81
dyson_X	81
15_X	78
заказать_ADJ	75
indesit_X	74
l_X	73
минус_CONJ	72
c_X	71
неужели_PART	71
максимум_PART	70
вб_X	68
перезаказывать_VERB	67
плюс_CONJ	65
х_X	62
geox_X	61
заклеить_ADJ	61
quot_X	60
синтетик_NOUN	59
46_X	59
бельё_NOUN	59
еле_ADV	58
вне_ADP	57
вайлдберис_NOUN	54
25_X	54
б_PART	53
нацисткий_ADJ	53
поцарапать_ADJ	51
м_NOUN	51
около_ADP	50
whirlpool_X	50
42_X	49
moulinex_X	48
ниже_ADP	48
фейк_NOUN	47
большемерить_VERB	46
чтоб_CONJ	46
panasonic_X	46
перемотать_ADJ	45
таки_PART	45
выбросить_ADJ	44
rowenta_X	44
кроме_ADP	43
23_X	43
2020_X	43
покупаться_VERB	42
16_X	42
44_X	41
18_X	41
gorenje_X	41
массажёр_NOUN	40
сс_X	40
над_ADP	40
также_PART	40
vitek_X	39
48_X	39
ты_PRON	39
порваный_ADJ	39
kitchenaid_X	39
оплатить_ADJ	38
21_X	38
вообщий_ADJ	38
фашисткий_ADJ	37
оно_PRON	37
хлопок_NOUN	37
36_X	36
политизировать_ADJ	35
нету_ADV	35
запечатать_ADJ	35
валдберис_NOUN	34
s20_X	34
перезаказ_NOUN	34
13_X	34
короче_CONJ	33
45_X	33
белые_NOUN	32
валберис_NOUN	32
54_X	32
пвз_X	31
пришить_ADJ	30
просрочить_ADJ	30
нибыть_VERB	30
38_X	29
самовывоз_NOUN	29
тк_X	29
smeg_X	29
hdmi_X	29
порваться_VERB	28
hisense_X	28
ради_ADP	28
вечером_ADV	28
фуфло_NOUN	28
кошелёк_NOUN	27
госстуркутро_NOUN	27
39_X	27
вайлдберрис_NOUN	27
надорвать_ADJ	27
longhi_X	27
пошив_NOUN	27
43_X	27
01_X	26
06_X	26
адидас_NOUN	26
треснутый_ADJ	26
финансироваться_VERB	25
однако_CONJ	25
хонора_NOUN	25
госдоход_NOUN	25
значит_CONJ	25
хезболл_NOUN	24
asics_X	24
2021_X	24
комплектующие_NOUN	24
28_X	24
26_X	24
заблокировать_ADJ	24
27_X	24
й_X	24
кстати_CONJ	23
вчк_X	23
1500_X	23
